Couse_Section_SSRID,Registrar API Response
55775855e4b0770abb24e3ce,"{""createdAt"":""2015-06-09T21:19:17.277Z"",""updatedAt"":""2015-12-03T16:03:19.844Z"",""id"":""55775855e4b0770abb24e3ce"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/55775855e4b0770abb24e3ce/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""55775855e4b0770abb24e3cd"",""sectionCode"":""PSY100"",""sectionTitle"":""REVEL for Psychology, © 2015"",""sectionDescription"":""This is an interactive course which will definitely help you enrich your knowledge further in Psychology."",""productCodes"":[""22b7fe4d-e9a8-41bf-9b32-efc6f4545e5e""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/c9da11d5-02f2-4571-94d3-2c6c656a47b4/1/file/pearson_ciccarelli_v15-revel-2/OPS/public/images/catalog.jpg"",""startDate"":""2015-06-09T16:00:00.000Z"",""endDate"":""2017-06-09T16:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""dayValue\"":1,\""startTime\"":\""1969-12-31T23:00:00.000Z\"",\""endTime\"":\""1970-01-01T12:50:00.000Z\"",\""overlap\"":false}""],""openenrollmentbegins"":""2015-06-09T21:19:18.151Z"",""openenrollmentends"":""2015-06-09T21:19:18.151Z"",""sectionKeys"":[{""key"":""bwggvl"",""active"":true,""createdDate"":""2015-06-09T21:19:17.277Z""}]}"
553f9b8be4b096426d3a0b03,"{""createdAt"":""2015-04-28T14:39:07.311Z"",""updatedAt"":""2015-04-28T14:39:07.311Z"",""id"":""553f9b8be4b096426d3a0b03"",""courseId"":""553f9b8be4b096426d3a0b02"",""sectionTitle"":""Sullivan, Intro to Social Problems 10e"",""sectionDescription"":""Introduction to Social Problems 10e by Thomas J. Sullivan"",""productCodes"":[""a18b643d-b6a9-482d-9ab9-7da3b6a0c96a""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/157dc093-1260-497d-8684-d9f83abdae1a/1/file/sullivan-2-5-15/OPS/public/images/catalog.jpg"",""startDate"":""2015-04-28T04:00:00.000Z"",""endDate"":""2015-07-28T04:00:00.000Z"",""openenrollmentbegins"":""2015-04-28T14:39:06.917Z"",""openenrollmentends"":""2015-04-28T14:39:06.917Z"",""sectionKeys"":[{""key"":""m89ceh"",""active"":true,""createdDate"":""2015-04-28T14:39:07.311Z""}]}"
53e6f3e8e4b064547b5ae248,"{""createdAt"":""2014-08-10T04:24:08.328Z"",""updatedAt"":""2014-08-10T04:24:08.889Z"",""id"":""53e6f3e8e4b064547b5ae248"",""courseId"":""53e6f3e7e4b0ad5ed0dac155"",""sectionCode"":""PPR00051"",""sectionTitle"":""Perf-Prod-Revel-Course-PPR00051"",""sectionDescription"":""Perf-Prod-Revel-Course-PPR00051"",""productCodes"":[""d67d0940-3402-4bf9-88ab-4bf244853d0e""],""startDate"":""2014-07-01T04:00:00.000Z"",""endDate"":""2014-08-31T04:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""monday\""}"",""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""friday\""}"",""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""wednesday\""}""],""openenrollmentbegins"":""2014-07-01T04:00:00.000Z"",""openenrollmentends"":""2014-07-31T04:00:00.000Z"",""sectionKeys"":[{""key"":""1hnmib"",""active"":true,""createdDate"":""2014-08-10T04:24:08.889Z""}]}"
55636e14e4b00fe6c2cf68a9,"{""createdAt"":""2015-05-25T18:46:44.468Z"",""updatedAt"":""2015-12-03T16:02:39.400Z"",""id"":""55636e14e4b00fe6c2cf68a9"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/55636e14e4b00fe6c2cf68a9/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""55636e14e4b00fe6c2cf68a8"",""sectionCode"":""HUMA 102:001H"",""sectionTitle"":""X Humanities 102: Intro to Humanities 2"",""sectionDescription"":""This course helps students to see context and make connections across the humanities, and to enjoy countless “ah-ha” moments as they piece together the cultural history of world. Believing that students learn best by remembering stories rather than memorizing facts, we follow a narrative storytelling approach, conveying multifaceted cultural experiences throughout the arts in a way that students can understand and will remember — throughout the course and beyond."",""sectionStatus"":""active"",""productCodes"":[""147f0607-cdc3-40dd-b83f-0fc9f4e7bc0e""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/281a7332-d38b-4b9d-af9e-4e64d7de5b57/1/file/sayre-vol2-v4/OPS/public/images/catalog.jpg"",""startDate"":""2015-06-01T06:00:00.000Z"",""endDate"":""2015-07-25T06:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""dayValue\"":\""2\"",\""startTime\"":\""1970-01-01T20:00:00.000Z\"",\""endTime\"":\""1970-01-01T22:45:00.000Z\"",\""overlap\"":false}""],""openenrollmentbegins"":""2015-05-25T18:46:40.511Z"",""openenrollmentends"":""2015-05-25T18:46:40.511Z"",""sectionKeys"":[{""key"":""vy6yjo"",""active"":true,""createdDate"":""2015-05-25T18:46:44.468Z""}]}"
55d523a6e4b08f9181889ef6,"{""createdAt"":""2015-08-20T00:47:34.231Z"",""updatedAt"":""2015-12-03T16:10:47.110Z"",""id"":""55d523a6e4b08f9181889ef6"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/55d523a6e4b08f9181889ef6/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""55d523a6e4b08f9181889ef5"",""sectionCode"":""PSY 11 – D10 - Section 53313"",""sectionTitle"":""Introduction to Psychology"",""productCodes"":[""b292d70d-5818-4374-b6a2-eaa5469aa2c9""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/72dcdd49-736f-4919-8aa8-3264cabee79f/1/file/ciccarelli-p-4er_v2/OPS/public/images/catalog.jpg"",""startDate"":""2015-08-27T04:00:00.000Z"",""endDate"":""2015-12-23T05:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""dayValue\"":\""2\"",\""startTime\"":\""1970-01-01T16:00:00.000Z\"",\""endTime\"":\""1970-01-01T17:50:00.000Z\"",\""overlap\"":false}"",""{\""active\"":true,\""dayValue\"":4,\""startTime\"":\""1970-01-01T16:00:00.000Z\"",\""endTime\"":\""1970-01-01T16:50:00.000Z\"",\""overlap\"":false}""],""openenrollmentbegins"":""2015-08-20T00:47:33.936Z"",""openenrollmentends"":""2015-08-20T00:47:33.936Z"",""sectionKeys"":[{""key"":""4devth"",""active"":true,""createdDate"":""2015-08-20T00:47:34.231Z""}]}"
53e6f2f0e4b0ad5ed0dac13b,"{""createdAt"":""2014-08-10T04:20:00.204Z"",""updatedAt"":""2014-08-10T04:20:00.692Z"",""id"":""53e6f2f0e4b0ad5ed0dac13b"",""courseId"":""53e6f2efe4b064547b5ae233"",""sectionCode"":""PPR00012"",""sectionTitle"":""Perf-Prod-Revel-Course-PPR00012"",""sectionDescription"":""Perf-Prod-Revel-Course-PPR00012"",""productCodes"":[""d67d0940-3402-4bf9-88ab-4bf244853d0e""],""startDate"":""2014-07-01T04:00:00.000Z"",""endDate"":""2014-08-31T04:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""monday\""}"",""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""friday\""}"",""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""wednesday\""}""],""openenrollmentbegins"":""2014-07-01T04:00:00.000Z"",""openenrollmentends"":""2014-07-31T04:00:00.000Z"",""sectionKeys"":[{""key"":""0ztiis"",""active"":true,""createdDate"":""2014-08-10T04:20:00.692Z""}]}"
53e6f376e4b0ad5ed0dac14f,"{""createdAt"":""2014-08-10T04:22:14.245Z"",""updatedAt"":""2014-08-10T04:22:14.738Z"",""id"":""53e6f376e4b0ad5ed0dac14f"",""courseId"":""53e6f375e4b0dcd0fdaeb257"",""sectionCode"":""PPR00040"",""sectionTitle"":""Perf-Prod-Revel-Course-PPR00040"",""sectionDescription"":""Perf-Prod-Revel-Course-PPR00040"",""productCodes"":[""d67d0940-3402-4bf9-88ab-4bf244853d0e""],""startDate"":""2014-07-01T04:00:00.000Z"",""endDate"":""2014-08-31T04:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""monday\""}"",""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""friday\""}"",""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""wednesday\""}""],""openenrollmentbegins"":""2014-07-01T04:00:00.000Z"",""openenrollmentends"":""2014-07-31T04:00:00.000Z"",""sectionKeys"":[{""key"":""js5a9k"",""active"":true,""createdDate"":""2014-08-10T04:22:14.738Z""}]}"
554cc0c4e4b096426d3a11b5,"{""createdAt"":""2015-05-08T13:57:24.015Z"",""updatedAt"":""2015-12-03T16:02:01.138Z"",""id"":""554cc0c4e4b096426d3a11b5"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/554cc0c4e4b096426d3a11b5/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""554cc0c3e4b096426d3a11b4"",""sectionCode"":""Political Science Online"",""sectionTitle"":""POLS 406 04-30797"",""sectionDescription"":""Understanding the Political World -- 12th Edition\nJames N. Danziger, Charles A. Smith, © 2016"",""sectionStatus"":""active"",""productCodes"":[""27e88f1c-23ed-4408-abab-71af86e9c179""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/ec0dd303-a691-4b8f-94b1-543c665c247f/1/file/danziger-full-3-30-15/OPS/public/images/catalog.jpg"",""startDate"":""2015-05-08T04:00:00.000Z"",""endDate"":""2015-08-31T04:00:00.000Z"",""openenrollmentbegins"":""2015-05-08T13:57:22.623Z"",""openenrollmentends"":""2015-05-08T13:57:22.624Z"",""sectionKeys"":[{""key"":""tgaoov"",""active"":true,""createdDate"":""2015-05-08T13:57:24.015Z""}]}"
54ec21bce4b008fa38e2b84a,"{""createdAt"":""2015-02-24T07:01:16.708Z"",""updatedAt"":""2015-02-24T07:01:16.708Z"",""id"":""54ec21bce4b008fa38e2b84a"",""courseId"":""54ec21bce4b0abd47c466c95"",""sectionTitle"":""Test couse 2-24"",""sectionDescription"":""dsfsdafsd"",""productCodes"":[""b45e76b7-c69e-44e7-be5a-c79ab023d79c""],""startDate"":""2015-02-24T05:00:00.000Z"",""endDate"":""2016-02-24T05:00:00.000Z"",""openenrollmentbegins"":""2015-02-24T07:01:16.265Z"",""openenrollmentends"":""2015-02-24T07:01:16.265Z"",""sectionKeys"":[{""key"":""m2inxt"",""active"":true,""createdDate"":""2015-02-24T07:01:16.708Z""}]}"
54e3bee9e4b0afd1a25ddbbd,"{""createdAt"":""2015-02-17T22:21:29.413Z"",""updatedAt"":""2015-02-17T22:21:29.413Z"",""id"":""54e3bee9e4b0afd1a25ddbbd"",""courseId"":""54e3bee9e4b08c6fffb9f691"",""sectionTitle"":""test1853"",""sectionDescription"":""test"",""productCodes"":[""b919c943-ba11-428b-9d1d-9ae3be1be34b""],""startDate"":""2015-02-18T08:00:00.000Z"",""endDate"":""2015-02-20T08:00:00.000Z"",""openenrollmentbegins"":""2015-02-17T22:21:26.966Z"",""openenrollmentends"":""2015-02-17T22:21:26.966Z"",""sectionKeys"":[{""key"":""gildy5"",""active"":true,""createdDate"":""2015-02-17T22:21:29.412Z""}]}"
